,p,x,y,Pd,Pt,Ru
269,270,0.0,22.5,0.09200485627755953,0.36863553319435277,0.5393596105280877
270,271,4.5,22.5,0.09186188127484392,0.3345179116505937,0.5736202070745624
271,272,9.0,22.5,0.09171890686816887,0.30040043233789715,0.607880660793934
272,273,13.5,22.5,0.09157593305753067,0.26628309525537375,0.6421409716870956
273,274,18.0,22.5,0.09143295984292557,0.232165900402134,0.6764011397549404
274,275,22.5,22.5,0.09128998722434988,0.19804884777728857,0.7106611649983615
275,276,27.0,22.5,0.09114701520179982,0.16393193737994807,0.744921047418252
276,277,31.5,22.5,0.09100404377527173,0.12981516920922312,0.7791807870155051
277,278,36.0,22.5,0.09086107294476183,0.09569854326422432,0.8134403837910138
278,279,40.5,22.5,0.0907181027102664,0.061582059544062366,0.8476998377456711
279,280,-36.0,27.0,0.07863925328091145,0.6439543834705385,0.27740636324855
280,281,-31.5,27.0,0.07849630339517753,0.6098355334403728,0.3116681631644497
281,282,-27.0,27.0,0.07835335410539089,0.5757168256491199,0.34592982024548924
282,283,-22.5,27.0,0.07821040541154783,0.5415982600958903,0.38019133449256176
283,284,-18.0,27.0,0.0780674573136446,0.5074798367797948,0.4144527059065606
284,285,-13.5,27.0,0.0779245098116775,0.47336155569994365,0.4487139344883789
285,286,-9.0,27.0,0.0777815629056428,0.43924341685544754,0.48297502023890965
286,287,-4.5,27.0,0.07763861659553672,0.4051254202454171,0.5172359631590463
287,288,0.0,27.0,0.07749567088135559,0.37100756586896266,0.5514967632496817
288,289,4.5,27.0,0.07735272576309568,0.33688985372519503,0.5857574205117093
289,290,9.0,27.0,0.07720978124075324,0.3027722838132247,0.6200179349460221
290,291,13.5,27.0,0.07706683731432455,0.26865485613216217,0.6542783065535133
291,292,18.0,27.0,0.0769238939838059,0.23453757068111816,0.6885385353350759
292,293,22.5,27.0,0.07678095124919354,0.20042042745920322,0.7227986212916032
293,294,27.0,27.0,0.07663800911048377,0.16630342646552795,0.7570585644239883
294,295,31.5,27.0,0.07649506756767285,0.132186567699203,0.7913183647331241
295,296,36.0,27.0,0.07635212662075704,0.09806985115933892,0.8255780222199042
296,297,-31.5,31.5,0.063986835948395,0.6122082122494764,0.32380495180212854
297,298,-27.0,31.5,0.06384391654422762,0.5780894138525914,0.35806666960318084
298,299,-22.5,31.5,0.06370099773588071,0.5439707576944648,0.39232824456965454
299,300,-18.0,31.5,0.06355807952335056,0.5098522437742068,0.42658967670244263
300,301,-13.5,31.5,0.06341516190663343,0.47573387209092816,0.4608509660024385
